Tail Turning on X_axis,Tail twisting on Y-axis,Tail-Main Distance,AOA of Main Wing,C_Fx,C_Fy,C_Fz,C_Tx,C_Ty,C_Tz,,,,,,,,,,,,
20,0,10,10,0.022996858,-0.215619708,0.427195819,-0.291993047,-0.00641642,0.002071102,,,20,0,10,10,0.022996858,-0.215619708,0.427195819,-0.291993047,-0.00641642,0.002071102
20,0,10,10,0.022967666,-0.217390195,0.426815864,-0.293034352,-0.005954646,0.002263922,,,20,0,10,10,0.022967666,-0.217390195,0.426815864,-0.293034352,-0.005954646,0.002263922
20,0,10,10,0.023118858,-0.218994089,0.425596928,-0.293073699,-0.006235143,0.002151723,,,20,0,10,10,0.023118858,-0.218994089,0.425596928,-0.293073699,-0.006235143,0.002151723
20,0,15,0,0.00557725,-0.152657892,0.227755815,-0.189144834,0.004425089,0.00052165,,,20,0,15,-10,0.00864185,-0.199386637,-0.096765865,-0.14821769,-0.000965754,-0.000383745
20,0,15,0,0.005790468,-0.15205808,0.225382968,-0.188423267,0.004138086,0.00053665,,,20,0,15,-10,0.008641703,-0.1991459,-0.095700689,-0.147603531,-0.001140587,-0.000367992
20,0,15,0,0.005196752,-0.151799485,0.224456343,-0.187903319,0.004162865,0.000532753,,,20,0,15,-10,0.008572462,-0.198561645,-0.095967177,-0.147466602,-0.001316892,-0.000322142
20,0,15,-10,0.00864185,-0.199386637,-0.096765865,-0.14821769,-0.000965754,-0.000383745,,,20,0,15,0,0.00557725,-0.152657892,0.227755815,-0.189144834,0.004425089,0.00052165
20,0,15,-10,0.008641703,-0.1991459,-0.095700689,-0.147603531,-0.001140587,-0.000367992,,,20,0,15,0,0.005790468,-0.15205808,0.225382968,-0.188423267,0.004138086,0.00053665
20,0,15,-10,0.008572462,-0.198561645,-0.095967177,-0.147466602,-0.001316892,-0.000322142,,,20,0,15,0,0.005196752,-0.151799485,0.224456343,-0.187903319,0.004162865,0.000532753
20,0,15,10,0.023235515,-0.22501429,0.419847145,-0.310227017,-0.006735945,0.002573406,,,20,0,15,10,0.023235515,-0.22501429,0.419847145,-0.310227017,-0.006735945,0.002573406
20,0,15,10,0.022693421,-0.225109624,0.419504179,-0.310101403,-0.006465102,0.002589797,,,20,0,15,10,0.022693421,-0.225109624,0.419504179,-0.310101403,-0.006465102,0.002589797
20,0,15,10,0.023154044,-0.225449858,0.41817997,-0.3093853,-0.006833223,0.00254476,,,20,0,15,10,0.023154044,-0.225449858,0.41817997,-0.3093853,-0.006833223,0.00254476
20,0,20,0,0.004652528,-0.14175187,0.226563303,-0.203599632,0.003662578,0.00054533,,,20,0,20,-10,0.009077059,-0.17426842,-0.093402862,-0.164205861,-0.001574829,-0.000378179
20,0,20,0,0.004645474,-0.141084797,0.222613491,-0.203462745,0.003672596,0.000587906,,,20,0,20,-10,0.00916948,-0.17423354,-0.093245644,-0.164246455,-0.001808712,-0.000356343
20,0,20,0,0.004479702,-0.141432882,0.223588209,-0.203516886,0.0035674,0.000591259,,,20,0,20,-10,0.009574833,-0.174356411,-0.094386694,-0.164982002,-0.001235722,-0.000460228
20,0,20,-10,0.009077059,-0.17426842,-0.093402862,-0.164205861,-0.001574829,-0.000378179,,,20,0,20,0,0.004652528,-0.14175187,0.226563303,-0.203599632,0.003662578,0.00054533
20,0,20,-10,0.00916948,-0.17423354,-0.093245644,-0.164246455,-0.001808712,-0.000356343,,,20,0,20,0,0.004645474,-0.141084797,0.222613491,-0.203462745,0.003672596,0.000587906
20,0,20,-10,0.009574833,-0.174356411,-0.094386694,-0.164982002,-0.001235722,-0.000460228,,,20,0,20,0,0.004479702,-0.141432882,0.223588209,-0.203516886,0.0035674,0.000591259
20,0,20,10,0.024201653,-0.21409237,0.409392481,-0.320521467,-0.007179218,0.00254185,,,20,0,20,10,0.024201653,-0.21409237,0.409392481,-0.320521467,-0.007179218,0.00254185
20,0,20,10,0.024170589,-0.216077797,0.411471665,-0.320927105,-0.007420652,0.002444461,,,20,0,20,10,0.024170589,-0.216077797,0.411471665,-0.320927105,-0.007420652,0.002444461
20,0,20,10,0.024316022,-0.216056704,0.41100683,-0.321675653,-0.006900027,0.002550737,,,20,0,20,10,0.024316022,-0.216056704,0.41100683,-0.321675653,-0.006900027,0.002550737
30,0,0,0,0.007651266,-0.165073161,0.216734713,-0.136493986,0.00617229,0.000205286,,,30,0,0,-10,0.010902601,-0.195540856,-0.085546323,-0.064389529,4.6889E-05,-0.000846703
30,0,0,0,0.008045555,-0.166584649,0.221752588,-0.136901254,0.005763047,0.00022388,,,30,0,0,-10,0.011061228,-0.196103196,-0.085910397,-0.065331922,0.00045038,-0.000938243
30,0,0,0,0.008381664,-0.166742638,0.220584509,-0.136359227,0.005856003,0.000210794,,,30,0,0,-10,0.011356275,-0.196157428,-0.087070717,-0.065479816,0.000477874,-0.000942058
30,0,0,-10,0.010902601,-0.195540856,-0.085546323,-0.064389529,4.6889E-05,-0.000846703,,,30,0,0,0,0.007651266,-0.165073161,0.216734713,-0.136493986,0.00617229,0.000205286
30,0,0,-10,0.011061228,-0.196103196,-0.085910397,-0.065331922,0.00045038,-0.000938243,,,30,0,0,0,0.008045555,-0.166584649,0.221752588,-0.136901254,0.005763047,0.00022388
